Specialization,Certifications,CGPA/Percentage,Skills_ID_Categorized,Recommended_Career,Education_Level_ID_Categorized,Certifications_ID_Categorized
Psychology,Creative Writing,78,"Keuangan & Akuntansi, Machine Learning",Akademisi/Dosen,SMA/Sederajat,Penulisan Kreatif
Engineering,AWS Certified,81,"Keuangan & Akuntansi, Machine Learning, Pemasaran",ML Engineer,Sarjana,Cloud bersertifikat (AWS)
Finance,Mental Health Basics,84,"Analisis Data & IT, Konseling",Operator Entri Data,Magister,Kesehatan Mental
Commerce,CFA Level 1,79,"Analisis Data & IT, Keuangan & Akuntansi, Komunikasi",Financial Analyst,SMA/Sederajat,Keuangan (CFA)
Computer Science,AWS Certified,95,"Keuangan & Akuntansi, SQL",Operator Entri Data,SMA/Sederajat,Cloud bersertifikat (AWS)
Commerce,Mental Health Basics,78,SQL,Akuntan Junior,Sarjana,Kesehatan Mental
Arts,AWS Certified,73,Keuangan & Akuntansi,Staf Administrasi,SMA/Sederajat,Cloud bersertifikat (AWS)
Business,CFA Level 1,70,"Machine Learning, Pemasaran",Software Engineer,Sarjana,Keuangan (CFA)
Commerce,Tally ERP,76,"Analisis Data & IT, Komunikasi, Machine Learning",Ilmuwan Peneliti,Doktor,Keuangan & ERP
Science,Google Data Analytics,78,"Analisis Data & IT, Keuangan & Akuntansi, SQL",Software Engineer,Doktor,Analisis Data Google
Business,Digital Marketing,84,"Analisis Data & IT, Keuangan & Akuntansi, MS Office",Operator Entri Data,Magister,Pemasaran Digital
Science,No Certification,90,"Analisis Data & IT, Keuangan & Akuntansi, SQL",ML Engineer,Magister,Tanpa Sertifikat
Finance,Creative Writing,93,"Konseling, Pemasaran",Operator Entri Data,SMA/Sederajat,Penulisan Kreatif
Engineering,No Certification,63,"Keuangan & Akuntansi, Machine Learning",Financial Analyst,Doktor,Tanpa Sertifikat
Computer Science,Digital Marketing,76,"Keuangan & Akuntansi, MS Office",Financial Analyst,Doktor,Pemasaran Digital
Business,Mental Health Basics,72,"Keuangan & Akuntansi, Pemasaran, SQL",Ilmuwan Peneliti,Magister,Kesehatan Mental
Commerce,AWS Certified,61,"Konseling, Python, SQL",Akuntan Junior,SMA/Sederajat,Cloud bersertifikat (AWS)
Business,Digital Marketing,88,Pemasaran,Staf Administrasi,SMA/Sederajat,Pemasaran Digital
Computer Science,AWS Certified,81,"Keuangan & Akuntansi, Konseling, Python",Ilmuwan Peneliti,SMA/Sederajat,Cloud bersertifikat (AWS)
Science,Mental Health Basics,61,Pemasaran,Akuntan Junior,Doktor,Kesehatan Mental
Computer Science,No Certification,79,SQL,Asisten Penjualan,Sarjana,Tanpa Sertifikat
Psychology,Google Data Analytics,71,Keuangan & Akuntansi,ML Engineer,Sarjana,Analisis Data Google
Engineering,No Certification,89,"Analisis Data & IT, Pemasaran, SQL",ML Engineer,Magister,Tanpa Sertifikat
Psychology,Mental Health Basics,82,"Pemasaran, SQL",Operator Entri Data,SMA/Sederajat,Kesehatan Mental
Commerce,Creative Writing,87,Analisis Data & IT,Financial Analyst,Doktor,Penulisan Kreatif
Commerce,Google Data Analytics,77,Keuangan & Akuntansi,Akademisi/Dosen,Doktor,Analisis Data Google
Engineering,CFA Level 1,93,"Komunikasi, MS Office, Machine Learning",Ilmuwan Peneliti,Doktor,Keuangan (CFA)
Psychology,Creative Writing,88,"Analisis Data & IT, Keuangan & Akuntansi",Asisten Penjualan,Sarjana,Penulisan Kreatif
Science,CFA Level 1,61,MS Office,Staf Administrasi,Sarjana,Keuangan (CFA)
Engineering,Mental Health Basics,69,Keuangan & Akuntansi,Business Analyst,Magister,Kesehatan Mental
Computer Science,AWS Certified,65,"Keuangan & Akuntansi, Pemasaran, Python",Software Engineer,SMA/Sederajat,Cloud bersertifikat (AWS)
Business,Tally ERP,72,"Keuangan & Akuntansi, Konseling",Financial Analyst,SMA/Sederajat,Keuangan & ERP
Psychology,Digital Marketing,70,"Analisis Data & IT, Komunikasi",Business Analyst,Doktor,Pemasaran Digital
Business,No Certification,72,"Keuangan & Akuntansi, Komunikasi",Business Analyst,SMA/Sederajat,Tanpa Sertifikat
Arts,Tally ERP,81,"Analisis Data & IT, Keuangan & Akuntansi, Konseling",Akademisi/Dosen,Magister,Keuangan & ERP
Commerce,Creative Writing,72,"Keuangan & Akuntansi, Pemasaran",Operator Entri Data,Magister,Penulisan Kreatif
Psychology,Digital Marketing,90,Komunikasi,Ilmuwan Peneliti,SMA/Sederajat,Pemasaran Digital
Engineering,Google Data Analytics,76,Analisis Data & IT,Eksekutif Pemasaran,Doktor,Analisis Data Google
Arts,Digital Marketing,80,Pemasaran,Konselor Sekolah,Doktor,Pemasaran Digital
Psychology,CFA Level 1,94,"Analisis Data & IT, Konseling, Machine Learning",Akademisi/Dosen,Sarjana,Keuangan (CFA)
Arts,AWS Certified,80,Keuangan & Akuntansi,Eksekutif Pemasaran,Sarjana,Cloud bersertifikat (AWS)
Business,Mental Health Basics,66,"Komunikasi, Machine Learning, Pemasaran",Operator Entri Data,Sarjana,Kesehatan Mental
Computer Science,CFA Level 1,80,Komunikasi,Akuntan Junior,Sarjana,Keuangan (CFA)
Finance,AWS Certified,68,"Keuangan & Akuntansi, Python",Asisten Penjualan,SMA/Sederajat,Cloud bersertifikat (AWS)
Arts,CFA Level 1,60,"Keuangan & Akuntansi, Pemasaran",Software Engineer,SMA/Sederajat,Keuangan (CFA)
Business,AWS Certified,72,"Keuangan & Akuntansi, Konseling, SQL",Akademisi/Dosen,Doktor,Cloud bersertifikat (AWS)
Commerce,Mental Health Basics,71,"MS Office, Machine Learning",Konselor Sekolah,Magister,Kesehatan Mental
Science,No Certification,93,"Komunikasi, Pemasaran",Asisten Penjualan,SMA/Sederajat,Tanpa Sertifikat
Psychology,Tally ERP,66,"Analisis Data & IT, SQL",Akuntan Junior,SMA/Sederajat,Keuangan & ERP
Finance,No Certification,83,"Analisis Data & IT, Keuangan & Akuntansi, SQL",Asisten Penjualan,SMA/Sederajat,Tanpa Sertifikat
Computer Science,CFA Level 1,80,SQL,Konselor Sekolah,Magister,Keuangan (CFA)
Finance,Mental Health Basics,61,"Konseling, MS Office, Machine Learning",Asisten Penjualan,SMA/Sederajat,Kesehatan Mental
Business,Google Data Analytics,87,"Keuangan & Akuntansi, Machine Learning, Python",Eksekutif Pemasaran,Magister,Analisis Data Google
Commerce,AWS Certified,83,"Keuangan & Akuntansi, Pemasaran, Python",Business Analyst,SMA/Sederajat,Cloud bersertifikat (AWS)
Business,Creative Writing,84,"Komunikasi, Konseling, SQL",Operator Entri Data,SMA/Sederajat,Penulisan Kreatif
Finance,Mental Health Basics,93,"Keuangan & Akuntansi, MS Office, Machine Learning",Staf Administrasi,Magister,Kesehatan Mental
Commerce,Tally ERP,84,"Konseling, SQL",ML Engineer,SMA/Sederajat,Keuangan & ERP
Engineering,Digital Marketing,74,"Analisis Data & IT, MS Office, Python",Staf Administrasi,Magister,Pemasaran Digital
Engineering,CFA Level 1,76,"Keuangan & Akuntansi, Python",Operator Entri Data,SMA/Sederajat,Keuangan (CFA)
Science,Digital Marketing,77,"MS Office, SQL",Staf Administrasi,Sarjana,Pemasaran Digital
Finance,Mental Health Basics,61,"Keuangan & Akuntansi, MS Office, Machine Learning",Staf Administrasi,SMA/Sederajat,Kesehatan Mental
Finance,AWS Certified,71,"Analisis Data & IT, Konseling, Pemasaran",Staf Administrasi,Sarjana,Cloud bersertifikat (AWS)
Arts,Digital Marketing,61,"Konseling, Machine Learning",Staf Administrasi,Doktor,Pemasaran Digital
Psychology,No Certification,88,MS Office,Business Analyst,SMA/Sederajat,Tanpa Sertifikat
Science,Mental Health Basics,74,"Keuangan & Akuntansi, Python",Staf Administrasi,Doktor,Kesehatan Mental
Finance,No Certification,78,"Analisis Data & IT, Konseling",Business Analyst,SMA/Sederajat,Tanpa Sertifikat
Commerce,Google Data Analytics,95,"Keuangan & Akuntansi, Python",Akuntan Junior,SMA/Sederajat,Analisis Data Google
Business,Google Data Analytics,63,"Keuangan & Akuntansi, Konseling, MS Office",Operator Entri Data,SMA/Sederajat,Analisis Data Google
Business,No Certification,81,MS Office,Business Analyst,Magister,Tanpa Sertifikat
Arts,Digital Marketing,78,Komunikasi,Eksekutif Pemasaran,Doktor,Pemasaran Digital
Engineering,Digital Marketing,63,"Keuangan & Akuntansi, SQL",Ilmuwan Peneliti,SMA/Sederajat,Pemasaran Digital
Business,AWS Certified,85,"MS Office, Python",Konselor Sekolah,SMA/Sederajat,Cloud bersertifikat (AWS)
Psychology,AWS Certified,64,"Pemasaran, Python, SQL",Akuntan Junior,SMA/Sederajat,Cloud bersertifikat (AWS)
Commerce,No Certification,76,"Konseling, Machine Learning",Akuntan Junior,Sarjana,Tanpa Sertifikat
Business,CFA Level 1,61,"Konseling, Machine Learning, SQL",Staf Administrasi,Doktor,Keuangan (CFA)
Arts,Tally ERP,90,"Analisis Data & IT, Konseling, Pemasaran",Akuntan Junior,Sarjana,Keuangan & ERP
Business,No Certification,73,Pemasaran,ML Engineer,Sarjana,Tanpa Sertifikat
Commerce,Digital Marketing,91,Python,Software Engineer,Sarjana,Pemasaran Digital
Engineering,AWS Certified,82,"Komunikasi, Pemasaran, Python",Operator Entri Data,Magister,Cloud bersertifikat (AWS)
Commerce,Digital Marketing,86,"Analisis Data & IT, Keuangan & Akuntansi, Pemasaran",Akuntan Junior,SMA/Sederajat,Pemasaran Digital
Commerce,Google Data Analytics,67,"Analisis Data & IT, MS Office, Machine Learning",Asisten Penjualan,SMA/Sederajat,Analisis Data Google
Computer Science,CFA Level 1,88,"Analisis Data & IT, Machine Learning",ML Engineer,SMA/Sederajat,Keuangan (CFA)
Science,Google Data Analytics,67,"Machine Learning, SQL",Software Engineer,Magister,Analisis Data Google
Business,No Certification,76,"Analisis Data & IT, Komunikasi, Machine Learning",Operator Entri Data,SMA/Sederajat,Tanpa Sertifikat
Finance,Digital Marketing,92,"Komunikasi, Pemasaran",Akuntan Junior,Doktor,Pemasaran Digital
Commerce,Creative Writing,95,"Keuangan & Akuntansi, Komunikasi, Konseling",Software Engineer,Sarjana,Penulisan Kreatif
Psychology,No Certification,63,"Keuangan & Akuntansi, SQL",Staf Administrasi,Sarjana,Tanpa Sertifikat
Finance,AWS Certified,78,"Analisis Data & IT, Konseling, Machine Learning",Konselor Sekolah,Sarjana,Cloud bersertifikat (AWS)
Commerce,Tally ERP,73,"Machine Learning, SQL",Akademisi/Dosen,Magister,Keuangan & ERP
Finance,Tally ERP,64,"Analisis Data & IT, Pemasaran",Akuntan Junior,Doktor,Keuangan & ERP
Computer Science,Mental Health Basics,71,"Komunikasi, Machine Learning",Operator Entri Data,SMA/Sederajat,Kesehatan Mental
Business,Digital Marketing,73,Python,Financial Analyst,SMA/Sederajat,Pemasaran Digital
Commerce,Google Data Analytics,84,Machine Learning,Business Analyst,SMA/Sederajat,Analisis Data Google
Finance,AWS Certified,77,"Pemasaran, Python, SQL",Financial Analyst,SMA/Sederajat,Cloud bersertifikat (AWS)
Engineering,No Certification,83,"Analisis Data & IT, Machine Learning, SQL",Staf Administrasi,SMA/Sederajat,Tanpa Sertifikat
Computer Science,Mental Health Basics,78,Python,Staf Administrasi,Sarjana,Kesehatan Mental
Engineering,CFA Level 1,91,MS Office,Staf Administrasi,SMA/Sederajat,Keuangan (CFA)
Finance,Mental Health Basics,60,"Keuangan & Akuntansi, Konseling",ML Engineer,Doktor,Kesehatan Mental
Engineering,Digital Marketing,68,"Keuangan & Akuntansi, SQL",Software Engineer,SMA/Sederajat,Pemasaran Digital
Finance,CFA Level 1,73,"Analisis Data & IT, MS Office",ML Engineer,SMA/Sederajat,Keuangan (CFA)
Computer Science,Creative Writing,61,"Keuangan & Akuntansi, Pemasaran",Asisten Penjualan,Magister,Penulisan Kreatif
Engineering,Google Data Analytics,63,"Keuangan & Akuntansi, Machine Learning",Software Engineer,Sarjana,Analisis Data Google
Commerce,CFA Level 1,65,"Keuangan & Akuntansi, MS Office, Machine Learning",Business Analyst,Doktor,Keuangan (CFA)
Commerce,Tally ERP,80,"Keuangan & Akuntansi, Machine Learning",Operator Entri Data,Sarjana,Keuangan & ERP
Psychology,AWS Certified,81,"Keuangan & Akuntansi, Python",Financial Analyst,Doktor,Cloud bersertifikat (AWS)
Finance,Google Data Analytics,78,"MS Office, Machine Learning",Financial Analyst,SMA/Sederajat,Analisis Data Google
Commerce,CFA Level 1,69,"Analisis Data & IT, Komunikasi, SQL",Ilmuwan Peneliti,SMA/Sederajat,Keuangan (CFA)
Science,Google Data Analytics,85,"Analisis Data & IT, Komunikasi, Pemasaran",Staf Administrasi,Sarjana,Analisis Data Google
Business,Tally ERP,68,Machine Learning,ML Engineer,Sarjana,Keuangan & ERP
Finance,CFA Level 1,61,Analisis Data & IT,Akademisi/Dosen,SMA/Sederajat,Keuangan (CFA)
Arts,AWS Certified,91,"Keuangan & Akuntansi, Machine Learning, Pemasaran",Financial Analyst,SMA/Sederajat,Cloud bersertifikat (AWS)
Psychology,Tally ERP,60,Konseling,Staf Administrasi,Magister,Keuangan & ERP
Computer Science,No Certification,65,Pemasaran,ML Engineer,Sarjana,Tanpa Sertifikat
Computer Science,Creative Writing,63,"Keuangan & Akuntansi, Komunikasi, Python",Eksekutif Pemasaran,Magister,Penulisan Kreatif
Science,Tally ERP,84,"Machine Learning, Python",Financial Analyst,Magister,Keuangan & ERP
Psychology,No Certification,69,"Analisis Data & IT, MS Office",Financial Analyst,Sarjana,Tanpa Sertifikat
Finance,No Certification,90,"Konseling, Pemasaran",Financial Analyst,Sarjana,Tanpa Sertifikat
Computer Science,Digital Marketing,92,SQL,Operator Entri Data,SMA/Sederajat,Pemasaran Digital
Psychology,No Certification,92,"Konseling, SQL",Financial Analyst,Doktor,Tanpa Sertifikat
Business,Digital Marketing,62,"Keuangan & Akuntansi, Komunikasi, Python",Business Analyst,Magister,Pemasaran Digital
Psychology,Creative Writing,64,"Keuangan & Akuntansi, SQL",Akuntan Junior,Sarjana,Penulisan Kreatif
Science,AWS Certified,71,Konseling,Konselor Sekolah,Sarjana,Cloud bersertifikat (AWS)
Engineering,Mental Health Basics,94,Pemasaran,Akuntan Junior,SMA/Sederajat,Kesehatan Mental
Computer Science,No Certification,74,Pemasaran,ML Engineer,Sarjana,Tanpa Sertifikat
Arts,Tally ERP,74,"Analisis Data & IT, Komunikasi, Machine Learning",Software Engineer,SMA/Sederajat,Keuangan & ERP
Psychology,Google Data Analytics,93,"Analisis Data & IT, MS Office, Pemasaran",Akuntan Junior,Doktor,Analisis Data Google
Commerce,Digital Marketing,72,Keuangan & Akuntansi,ML Engineer,Doktor,Pemasaran Digital
Psychology,No Certification,75,MS Office,ML Engineer,Sarjana,Tanpa Sertifikat
Science,AWS Certified,67,"Analisis Data & IT, Keuangan & Akuntansi, Konseling",Ilmuwan Peneliti,Sarjana,Cloud bersertifikat (AWS)
Engineering,CFA Level 1,83,"Keuangan & Akuntansi, Pemasaran",Staf Administrasi,SMA/Sederajat,Keuangan (CFA)
Finance,Digital Marketing,74,"Analisis Data & IT, Konseling",Akuntan Junior,Magister,Pemasaran Digital
Commerce,Tally ERP,75,Pemasaran,Konselor Sekolah,Sarjana,Keuangan & ERP
Finance,Tally ERP,63,Analisis Data & IT,Akademisi/Dosen,SMA/Sederajat,Keuangan & ERP
Computer Science,CFA Level 1,82,"Komunikasi, Machine Learning, SQL",Akuntan Junior,Magister,Keuangan (CFA)
Psychology,CFA Level 1,64,"Analisis Data & IT, Keuangan & Akuntansi, Pemasaran",ML Engineer,Magister,Keuangan (CFA)
Computer Science,AWS Certified,86,"Keuangan & Akuntansi, MS Office",Software Engineer,Sarjana,Cloud bersertifikat (AWS)
Computer Science,AWS Certified,63,"Analisis Data & IT, Python",Software Engineer,SMA/Sederajat,Cloud bersertifikat (AWS)
Engineering,CFA Level 1,71,"Keuangan & Akuntansi, SQL",ML Engineer,Sarjana,Keuangan (CFA)
Computer Science,No Certification,88,"Analisis Data & IT, SQL",Staf Administrasi,Sarjana,Tanpa Sertifikat
Engineering,Mental Health Basics,65,"Analisis Data & IT, MS Office, SQL",Konselor Sekolah,SMA/Sederajat,Kesehatan Mental
Computer Science,Tally ERP,83,Pemasaran,Staf Administrasi,Sarjana,Keuangan & ERP
Engineering,Digital Marketing,71,"Konseling, MS Office",Software Engineer,Doktor,Pemasaran Digital
Business,Creative Writing,81,"Komunikasi, MS Office, Pemasaran",Operator Entri Data,Magister,Penulisan Kreatif
Engineering,Digital Marketing,60,Python,Financial Analyst,Magister,Pemasaran Digital
Business,No Certification,66,Keuangan & Akuntansi,Business Analyst,Sarjana,Tanpa Sertifikat
Engineering,CFA Level 1,67,Keuangan & Akuntansi,Akuntan Junior,Magister,Keuangan (CFA)
Engineering,Mental Health Basics,63,"Analisis Data & IT, Keuangan & Akuntansi",Financial Analyst,Magister,Kesehatan Mental
Finance,Digital Marketing,91,"Analisis Data & IT, MS Office",Konselor Sekolah,SMA/Sederajat,Pemasaran Digital
Psychology,Mental Health Basics,93,"Komunikasi, MS Office, Pemasaran",Eksekutif Pemasaran,Sarjana,Kesehatan Mental
Finance,Tally ERP,61,"Keuangan & Akuntansi, Machine Learning, Pemasaran",Financial Analyst,SMA/Sederajat,Keuangan & ERP
Commerce,AWS Certified,71,"Keuangan & Akuntansi, Python",Financial Analyst,Sarjana,Cloud bersertifikat (AWS)
Arts,Creative Writing,93,Keuangan & Akuntansi,Eksekutif Pemasaran,Doktor,Penulisan Kreatif
Commerce,AWS Certified,68,Analisis Data & IT,Asisten Penjualan,SMA/Sederajat,Cloud bersertifikat (AWS)
Business,CFA Level 1,77,"Machine Learning, Pemasaran",Asisten Penjualan,Sarjana,Keuangan (CFA)
Science,No Certification,87,"Analisis Data & IT, Komunikasi, Konseling",Business Analyst,Doktor,Tanpa Sertifikat
Business,Digital Marketing,75,MS Office,Akademisi/Dosen,Doktor,Pemasaran Digital
Business,Google Data Analytics,62,MS Office,Konselor Sekolah,SMA/Sederajat,Analisis Data Google
Business,Mental Health Basics,74,MS Office,Staf Administrasi,Sarjana,Kesehatan Mental
Engineering,AWS Certified,93,"Keuangan & Akuntansi, MS Office, Python",Akuntan Junior,Sarjana,Cloud bersertifikat (AWS)
Commerce,No Certification,86,"Keuangan & Akuntansi, Pemasaran",Financial Analyst,SMA/Sederajat,Tanpa Sertifikat
Commerce,AWS Certified,61,"Keuangan & Akuntansi, Pemasaran",Staf Administrasi,SMA/Sederajat,Cloud bersertifikat (AWS)
Finance,CFA Level 1,87,"Analisis Data & IT, Keuangan & Akuntansi, Machine Learning",Business Analyst,Doktor,Keuangan (CFA)
Psychology,AWS Certified,79,MS Office,Ilmuwan Peneliti,Doktor,Cloud bersertifikat (AWS)
Computer Science,Digital Marketing,91,Analisis Data & IT,Business Analyst,Magister,Pemasaran Digital
Psychology,Mental Health Basics,75,"Keuangan & Akuntansi, Pemasaran",ML Engineer,Magister,Kesehatan Mental
Science,Mental Health Basics,63,"MS Office, Machine Learning, Python",Asisten Penjualan,Doktor,Kesehatan Mental
Commerce,Creative Writing,76,"Keuangan & Akuntansi, Python",Software Engineer,Sarjana,Penulisan Kreatif
Engineering,Creative Writing,79,"Analisis Data & IT, Keuangan & Akuntansi, Pemasaran",Financial Analyst,Sarjana,Penulisan Kreatif
Psychology,Google Data Analytics,93,Machine Learning,ML Engineer,Doktor,Analisis Data Google
Arts,Google Data Analytics,83,Keuangan & Akuntansi,Financial Analyst,SMA/Sederajat,Analisis Data Google
Commerce,Google Data Analytics,86,"Keuangan & Akuntansi, Konseling, SQL",Akademisi/Dosen,SMA/Sederajat,Analisis Data Google
Computer Science,Digital Marketing,84,"Komunikasi, Pemasaran, Python",Akademisi/Dosen,Doktor,Pemasaran Digital
Psychology,Mental Health Basics,74,"Keuangan & Akuntansi, Pemasaran",Operator Entri Data,Magister,Kesehatan Mental
Engineering,No Certification,91,Machine Learning,Konselor Sekolah,SMA/Sederajat,Tanpa Sertifikat
Commerce,Mental Health Basics,86,Python,Eksekutif Pemasaran,Doktor,Kesehatan Mental
Finance,CFA Level 1,94,MS Office,ML Engineer,SMA/Sederajat,Keuangan (CFA)
Arts,Mental Health Basics,64,"Keuangan & Akuntansi, Machine Learning",Financial Analyst,Magister,Kesehatan Mental
Engineering,Mental Health Basics,92,Analisis Data & IT,Software Engineer,SMA/Sederajat,Kesehatan Mental
Commerce,Google Data Analytics,94,Keuangan & Akuntansi,Konselor Sekolah,Magister,Analisis Data Google
Commerce,AWS Certified,88,Analisis Data & IT,Konselor Sekolah,Doktor,Cloud bersertifikat (AWS)
Business,Digital Marketing,64,"Komunikasi, Pemasaran",Konselor Sekolah,Magister,Pemasaran Digital
Arts,Tally ERP,91,Python,Eksekutif Pemasaran,SMA/Sederajat,Keuangan & ERP
Engineering,Google Data Analytics,88,Keuangan & Akuntansi,Staf Administrasi,Magister,Analisis Data Google
Computer Science,Tally ERP,92,"Keuangan & Akuntansi, Machine Learning",Operator Entri Data,Doktor,Keuangan & ERP
Computer Science,Google Data Analytics,74,SQL,Ilmuwan Peneliti,Magister,Analisis Data Google
Engineering,Mental Health Basics,72,"Keuangan & Akuntansi, Komunikasi",Konselor Sekolah,Doktor,Kesehatan Mental
Science,No Certification,90,Komunikasi,Konselor Sekolah,Magister,Tanpa Sertifikat
Business,CFA Level 1,84,"Keuangan & Akuntansi, Konseling",Asisten Penjualan,SMA/Sederajat,Keuangan (CFA)
Finance,Tally ERP,69,"Keuangan & Akuntansi, Konseling, Machine Learning",Eksekutif Pemasaran,SMA/Sederajat,Keuangan & ERP
Engineering,Google Data Analytics,74,"Keuangan & Akuntansi, Konseling",Staf Administrasi,SMA/Sederajat,Analisis Data Google
Psychology,No Certification,87,"Komunikasi, Python",Akuntan Junior,SMA/Sederajat,Tanpa Sertifikat
Arts,No Certification,70,"Analisis Data & IT, Keuangan & Akuntansi, MS Office",Asisten Penjualan,SMA/Sederajat,Tanpa Sertifikat
Science,AWS Certified,72,"Keuangan & Akuntansi, Komunikasi, Konseling",Operator Entri Data,Magister,Cloud bersertifikat (AWS)
Finance,Creative Writing,95,"Keuangan & Akuntansi, Komunikasi, SQL",Eksekutif Pemasaran,SMA/Sederajat,Penulisan Kreatif
Arts,Digital Marketing,85,"Keuangan & Akuntansi, MS Office, SQL",Akuntan Junior,Doktor,Pemasaran Digital
Computer Science,No Certification,90,Python,Ilmuwan Peneliti,Doktor,Tanpa Sertifikat
Psychology,Creative Writing,91,"Keuangan & Akuntansi, SQL",Akademisi/Dosen,SMA/Sederajat,Penulisan Kreatif
Finance,Digital Marketing,82,"Analisis Data & IT, Machine Learning, Pemasaran",Eksekutif Pemasaran,Magister,Pemasaran Digital
Science,No Certification,82,"Konseling, Python",Ilmuwan Peneliti,Sarjana,Tanpa Sertifikat
Finance,Digital Marketing,75,"Keuangan & Akuntansi, Pemasaran",Operator Entri Data,SMA/Sederajat,Pemasaran Digital
Computer Science,No Certification,93,"Analisis Data & IT, Keuangan & Akuntansi, Komunikasi",Ilmuwan Peneliti,Magister,Tanpa Sertifikat
Computer Science,Digital Marketing,65,MS Office,Eksekutif Pemasaran,Sarjana,Pemasaran Digital
Psychology,CFA Level 1,68,"Komunikasi, MS Office, SQL",ML Engineer,SMA/Sederajat,Keuangan (CFA)
Commerce,Tally ERP,83,"Komunikasi, Python",Asisten Penjualan,Sarjana,Keuangan & ERP
Engineering,Tally ERP,91,Konseling,Operator Entri Data,SMA/Sederajat,Keuangan & ERP
Business,AWS Certified,62,"Keuangan & Akuntansi, MS Office, Python",Business Analyst,Sarjana,Cloud bersertifikat (AWS)
Psychology,No Certification,66,Konseling,Konselor Sekolah,Magister,Tanpa Sertifikat
Computer Science,No Certification,64,"Keuangan & Akuntansi, Konseling",Staf Administrasi,Magister,Tanpa Sertifikat
Business,Google Data Analytics,63,Analisis Data & IT,Business Analyst,SMA/Sederajat,Analisis Data Google
Business,Mental Health Basics,80,"MS Office, Pemasaran",Financial Analyst,SMA/Sederajat,Kesehatan Mental
Science,Google Data Analytics,70,"Keuangan & Akuntansi, MS Office, Pemasaran",Asisten Penjualan,SMA/Sederajat,Analisis Data Google
Computer Science,Mental Health Basics,82,Machine Learning,Konselor Sekolah,SMA/Sederajat,Kesehatan Mental
Arts,AWS Certified,85,Keuangan & Akuntansi,Business Analyst,Doktor,Cloud bersertifikat (AWS)
Psychology,No Certification,82,Python,Staf Administrasi,Sarjana,Tanpa Sertifikat
Computer Science,Digital Marketing,77,"Analisis Data & IT, SQL",Akuntan Junior,Magister,Pemasaran Digital
Finance,Mental Health Basics,62,Machine Learning,Asisten Penjualan,Doktor,Kesehatan Mental
Science,No Certification,62,"Machine Learning, Pemasaran",Konselor Sekolah,SMA/Sederajat,Tanpa Sertifikat
Arts,Mental Health Basics,80,"Keuangan & Akuntansi, Pemasaran",Akuntan Junior,Doktor,Kesehatan Mental
Engineering,Creative Writing,91,"Analisis Data & IT, MS Office",Konselor Sekolah,SMA/Sederajat,Penulisan Kreatif
Business,AWS Certified,85,"Konseling, MS Office",Staf Administrasi,SMA/Sederajat,Cloud bersertifikat (AWS)
Finance,CFA Level 1,79,"Analisis Data & IT, Machine Learning, Pemasaran",Software Engineer,SMA/Sederajat,Keuangan (CFA)
Finance,AWS Certified,74,"Keuangan & Akuntansi, Konseling, Pemasaran",Eksekutif Pemasaran,SMA/Sederajat,Cloud bersertifikat (AWS)
Science,Google Data Analytics,83,"Analisis Data & IT, Python",Ilmuwan Peneliti,SMA/Sederajat,Analisis Data Google
Engineering,Digital Marketing,94,MS Office,Akademisi/Dosen,Doktor,Pemasaran Digital
Computer Science,Google Data Analytics,72,"Analisis Data & IT, Keuangan & Akuntansi, Pemasaran",Konselor Sekolah,Magister,Analisis Data Google
Business,Creative Writing,63,MS Office,Akademisi/Dosen,SMA/Sederajat,Penulisan Kreatif
Business,AWS Certified,93,"Analisis Data & IT, Keuangan & Akuntansi, Python",ML Engineer,Sarjana,Cloud bersertifikat (AWS)
Psychology,CFA Level 1,67,"Keuangan & Akuntansi, Python",Software Engineer,Magister,Keuangan (CFA)
Science,No Certification,93,Analisis Data & IT,Staf Administrasi,Sarjana,Tanpa Sertifikat
Psychology,Google Data Analytics,95,"Analisis Data & IT, MS Office, Python",Akademisi/Dosen,SMA/Sederajat,Analisis Data Google
Psychology,Tally ERP,91,"Analisis Data & IT, Pemasaran",Software Engineer,SMA/Sederajat,Keuangan & ERP
Finance,Mental Health Basics,79,"Keuangan & Akuntansi, SQL",Konselor Sekolah,Doktor,Kesehatan Mental
Commerce,Mental Health Basics,77,"Pemasaran, Python",Eksekutif Pemasaran,Magister,Kesehatan Mental
Business,Mental Health Basics,81,"Machine Learning, SQL",Software Engineer,SMA/Sederajat,Kesehatan Mental
Finance,Tally ERP,90,"Analisis Data & IT, Konseling, SQL",Software Engineer,SMA/Sederajat,Keuangan & ERP
Business,Tally ERP,65,"Analisis Data & IT, Pemasaran, Python",Konselor Sekolah,SMA/Sederajat,Keuangan & ERP
Computer Science,Tally ERP,64,"Keuangan & Akuntansi, Komunikasi",ML Engineer,SMA/Sederajat,Keuangan & ERP
Arts,Digital Marketing,65,Keuangan & Akuntansi,Software Engineer,Sarjana,Pemasaran Digital
Engineering,CFA Level 1,93,"Komunikasi, Konseling",Business Analyst,SMA/Sederajat,Keuangan (CFA)
Finance,Google Data Analytics,65,"Analisis Data & IT, MS Office, SQL",Financial Analyst,Magister,Analisis Data Google
Engineering,Mental Health Basics,69,"Analisis Data & IT, MS Office",Akuntan Junior,Doktor,Kesehatan Mental
Psychology,Mental Health Basics,65,Konseling,Akademisi/Dosen,Magister,Kesehatan Mental
Science,Digital Marketing,84,"Konseling, Pemasaran, Python",Ilmuwan Peneliti,Sarjana,Pemasaran Digital
